label	canonical_seven_cause_signature_attribution_2026-07-28
classifier_stamp	cause-signature-not-error-code-v1
protocol	Task B of mandate msg_2c058326: cargo build --message-format=json over the SAME assembled crate as canonical_seven_sweep_2026-07-28.tsv (identical gunbc/cssl_assemble binary pair, no re-emit between passes); each error grouped by CAUSE SIGNATURE not error code — E0308 by concrete expected/found type pair, E0599 by receiver type + missing method, E0277 by unsatisfied trait + self type; counts below are FULL RESIDUAL (every error cargo reported for that module in one clean build), never first-error-limited
gunbc_sha256	54c3fea91dbb87fd6794f29d5f23f79ee58bfff51fb99c935e5878bdd8b145c7
cssl_assemble_sha256	2cd17c5040afb470ea3af631d5d773e5e7028c4691341b50187d186abfee3720
git_sha	623519aa3ca871b7afbcbd47c7ac137542c8f426
seed_vs_v2_emit_caveat	every file_line below is under a v1-seed-emitted crate (gunbc compile --target rust runs src/v1/05_emit_rust.dag over the v2 AST as data); a fix for any row here lands in the seed + regen_stage0, NEVER in v2-emit-only wiring — v2-only changes will not move these counts
rows	233 distinct cause signatures across 2898 total errors (2 residual UNLOCATED E0308 rows out of 845 E0308 occurrences — genuinely un-patterned messages, not a regex gap; see rows tagged "(UNLOCATED)")
companion	docs/probes/canonical_seven_sweep_2026-07-28.tsv (Task A: per-module error-code histograms + baseline delta)
cause_signature	count	distinct_emitted_files	example_file_line
E0369: binary operation `>=` cannot be applied to type `Rc<CommutativeSemiring<Magnitude>>`	2	2	materialization_carriers/src/std_cache_interface.rs:541
E0308: expected `std::string::String` found `std::option::Option<std::string::String>`	2	1	materialization_carriers/src/std_cache_interface.rs:569
E0369: binary operation `!=` cannot be applied to type `Rc<CommutativeSemiring<Magnitude>>`	2	2	materialization_carriers/src/std_realization_measurement.rs:184
E0369: cannot subtract `Rc<CommutativeSemiring<Magnitude>>` from `Rc<CommutativeSemiring<Magnitude>>`	2	1	materialization_carriers/src/std_realization_width.rs:85
E0308: expected `std::string::String` found `fn() -> std::string::String {parse_table_memo_id}`	2	1	materialization_carriers/src/v2_compiler_materialization_carriers.rs:177
E0308: expected `Rc<Rc<CommutativeSemiring<_>>>` found `Rc<CommutativeSemiring<_>>`	1	1	emit_host/src/std_measure.rs:191
E0369: cannot subtract `{integer}` from `Rc<Rc<CommutativeSemiring<Magnitude>>>`	1	1	emit_host/src/std_measure.rs:203
E0369: cannot divide `Rc<Rc<CommutativeSemiring<Magnitude>>>` by `{integer}`	1	1	emit_host/src/std_measure.rs:624
E0369: binary operation `==` cannot be applied to type `Rc<Measure<(), S, Rc<Rc<CommutativeSemiring<Magnitu	1	1	emit_host/src/std_realization_schedule.rs:44
E0277: cannot add `Rc<Rc<CommutativeSemiring<Magnitude>>>` to `i64`	1	1	emit_host/src/std_realization_measurement.rs:91
E0369: binary operation `>=` cannot be applied to type `Rc<Rc<CommutativeSemiring<Magnitude>>>`	1	1	emit_host/src/std_realization_width.rs:113
E0369: cannot divide `Rc<v2_std_nat::Nat>` by `{integer}`	1	1	emit_host/src/v2_std_integer.rs:1411
E0425: cannot find function `emit_host_run_transport_cached` in this scope	1	1	emit_host/src/v2_compiler_emit_host.rs:285
E0425: cannot find function `emit_host_run_transport` in this scope	1	1	emit_host/src/v2_compiler_emit_host.rs:287
E0308: expected `Rc<HostLogicalRun>` found `HostLogicalRun`	1	1	emit_host/src/v2_compiler_emit_host.rs:364
E0369: binary operation `==` cannot be applied to type `CommutativeSemiring<Magnitude>`	1	1	materialization_carriers/src/std_measure.rs:189
E0308: expected `Rc<CommutativeSemiring<_>>` found `CommutativeSemiring<_>`	1	1	materialization_carriers/src/std_measure.rs:190
E0369: cannot divide `CommutativeSemiring<Magnitude>` by `CommutativeSemiring<Magnitude>`	1	1	materialization_carriers/src/std_measure.rs:192
E0369: cannot subtract `{integer}` from `Rc<CommutativeSemiring<Magnitude>>`	1	1	materialization_carriers/src/std_measure.rs:202
E0369: cannot add `CommutativeSemiring<Magnitude>` to `CommutativeSemiring<Magnitude>`	1	1	materialization_carriers/src/std_measure.rs:210
E0369: binary operation `<=` cannot be applied to type `CommutativeSemiring<Magnitude>`	1	1	materialization_carriers/src/std_measure.rs:216
E0308: expected `GroupCompletion<Rc<Rc<CommutativeSemiring<Magnitude>>>>` found `i64`	1	1	materialization_carriers/src/std_measure.rs:304
E0308: expected `Rc<Measure<_, _, i64>>` found `Rc<Measure<(), (), GroupCompletion<Rc<Rc<CommutativeSemiring<Magnitude>>>>>>`	1	1	materialization_carriers/src/std_measure.rs:310
E0369: cannot divide `Rc<CommutativeSemiring<Magnitude>>` by `{integer}`	1	1	materialization_carriers/src/std_measure.rs:623
E0369: binary operation `==` cannot be applied to type `Rc<Measure<(), S, Rc<CommutativeSemiring<Magnitude>	1	1	materialization_carriers/src/std_realization_schedule.rs:44
E0599: the method `clone` exists for enum `CacheProbe<B>`, but its trait bounds were not satisfied	1	1	materialization_carriers/src/v2_std_staging.rs:38
E0308: expected `Rc<(dyn Fn(A) -> Rc<Outcome<B>> + 'static)>` found `{closure@src/v2_std_staging.rs:45:5: 45:8}`	1	1	materialization_carriers/src/v2_std_staging.rs:45
E0369: binary operation `==` cannot be applied to type `&Rc<Measure<(), (), Rc<CommutativeSemiring<Magnitud	1	1	materialization_carriers/src/std_cache_interface.rs:88
E0308: expected `std::option::Option<std::string::String>` found `std_cache_interface::None`	1	1	materialization_carriers/src/std_cache_interface.rs:512
E0277: cannot add `Rc<CommutativeSemiring<Magnitude>>` to `i64`	1	1	materialization_carriers/src/std_realization_measurement.rs:91
E0308: expected `std::string::String` found `fn() -> std::string::String {compile_stage_memo_id}`	1	1	materialization_carriers/src/v2_compiler_materialization_carriers.rs:181
E0308: expected `Rc<(dyn Fn(A) -> Rc<Outcome<B>> + 'static)>` found `{closure@src/v2_compiler_materialization_carriers.rs:218:5: 218:8}`	1	1	materialization_carriers/src/v2_compiler_materialization_carriers.rs:218
E0277: can't compare `std::string::String` with `fn() -> std::string::String {parse_table_memo_id}`	1	1	materialization_carriers/src/v2_compiler_materialization_carriers.rs:261
