reference_site	intended_declaration_identity	actually_selected_declaration_identity	visible_candidate_set	failure_class	reach_vs_binding	witness_qualified	error_message
test.claim.emitter_nested_refinement_cast_witness_test.nested_refinement_carrier_deficit_remains_observable				other	other	test.claim.emitter_nested_refinement_cast_witness_test.nested_refinement_carrier_deficit_remains_observable	exceeded Cpu budget (835ms elapsed against 500ms)
test.claim.emitter_optional_payload_cast_witness_test.user_defined_present_inside_optional_returning_fn_is_unaffected				other	other	test.claim.emitter_optional_payload_cast_witness_test.user_defined_present_inside_optional_returning_fn_is_unaffected	exceeded Cpu budget (841ms elapsed against 500ms)
test.claim.emitter_optional_payload_cast_witness_test.optional_payload_cast_lowers_to_some				other	other	test.claim.emitter_optional_payload_cast_witness_test.optional_payload_cast_lowers_to_some	exceeded Cpu budget (825ms elapsed against 500ms)
test.claim.emitter_optional_payload_cast_witness_test.plain_return_with_cast_lowers_to_some				other	other	test.claim.emitter_optional_payload_cast_witness_test.plain_return_with_cast_lowers_to_some	exceeded Cpu budget (833ms elapsed against 500ms)
test.claim.emitter_optional_payload_cast_witness_test.hoisted_cast_lowers_to_some				other	other	test.claim.emitter_optional_payload_cast_witness_test.hoisted_cast_lowers_to_some	exceeded Cpu budget (826ms elapsed against 500ms)
test.claim.emitter_optional_payload_cast_witness_test.refined_return_without_cast_lowers_to_some				other	other	test.claim.emitter_optional_payload_cast_witness_test.refined_return_without_cast_lowers_to_some	exceeded Cpu budget (838ms elapsed against 500ms)
test.claim.emitter_optional_payload_cast_witness_test.user_enum_cast_payload_keeps_variant_name				other	other	test.claim.emitter_optional_payload_cast_witness_test.user_enum_cast_payload_keeps_variant_name	exceeded Cpu budget (843ms elapsed against 500ms)
test.claim.emitter_optional_payload_cast_witness_test.user_defined_present_variant_is_unaffected				other	other	test.claim.emitter_optional_payload_cast_witness_test.user_defined_present_variant_is_unaffected	exceeded Cpu budget (830ms elapsed against 500ms)
test.claim.emitter_optional_present_branded_scalar_witness_test.present_branded_scalar_cast_emits_some_not_optional_string				other	other	test.claim.emitter_optional_present_branded_scalar_witness_test.present_branded_scalar_cast_emits_some_not_optional_string	exceeded Cpu budget (828ms elapsed against 500ms)
test.claim.exact_witness_admission_witness.no_batch_mixes_a_pre_verdict_row_with_an_assertion_false_row				other	other	test.claim.exact_witness_admission_witness.no_batch_mixes_a_pre_verdict_row_with_an_assertion_false_row	returned Bool(false)
test.claim.exact_witness_admission_witness.both_red_expectations_are_known_red_but_only_one_expects_a_pre_verdict_refusal				other	other	test.claim.exact_witness_admission_witness.both_red_expectations_are_known_red_but_only_one_expects_a_pre_verdict_refusal	returned Bool(false)
test.claim.extdeps_scope_placement_gate_loudness_witness.red_seed_runner_failure_detail_projects_located_receipt				other	other	test.claim.extdeps_scope_placement_gate_loudness_witness.red_seed_runner_failure_detail_projects_located_receipt	exceeded Cpu budget (80356ms elapsed against 500ms)
test.claim.fleet_convergence_verdict_witness.live_fleet_is_not_converged_and_unobserved_cells_are_counted				other	other	test.claim.fleet_convergence_verdict_witness.live_fleet_is_not_converged_and_unobserved_cells_are_counted	non-exhaustive pattern match on: null
test.claim.fleet_convergence_verdict_witness.knob_receipts_alone_cannot_converge_the_fleet				other	other	test.claim.fleet_convergence_verdict_witness.knob_receipts_alone_cannot_converge_the_fleet	non-exhaustive pattern match on: null
test.claim.fleet_receipt_collector_witness.witness_partial_collection_never_yields_fleet_converged				other	other	test.claim.fleet_receipt_collector_witness.witness_partial_collection_never_yields_fleet_converged	non-exhaustive pattern match on: null
test.claim.fleet_runner_connectivity_witness.detached_count_matches_offline_registrations_on_active_slots				other	other	test.claim.fleet_runner_connectivity_witness.detached_count_matches_offline_registrations_on_active_slots	non-exhaustive pattern match on: SlotConnectivityHealthy { slot: RunnerSlotIdentity { host: srv1, slot_index: 1 }, registration_id: 1 }
test.claim.fleet_runner_connectivity_witness.healthy_count_is_one_and_orphaned_count_is_four				other	other	test.claim.fleet_runner_connectivity_witness.healthy_count_is_one_and_orphaned_count_is_four	non-exhaustive pattern match on: SlotConnectivityHealthy { slot: RunnerSlotIdentity { host: srv1, slot_index: 1 }, registration_id: 1 }
test.claim.g2_data_reference_under_selection_witness_test (witness); bare=fn_arrow_decl_facts_live				no_such_function	reach_gap	test.claim.g2_data_reference_under_selection_witness_test.specimen_classifies_as_runtime_read	no such function: fn_arrow_decl_facts_live
test.claim.g2_data_reference_under_selection_witness_test (witness); bare=fn_arrow_decl_facts_live				no_such_function	reach_gap	test.claim.g2_data_reference_under_selection_witness_test.specimen_does_not_classify_as_local_read	no such function: fn_arrow_decl_facts_live
test.claim.generated_artifact_merge_driver_real_execution.divergent_generated_artifact_merge_refuses_by_real_execution				other	other	test.claim.generated_artifact_merge_driver_real_execution.divergent_generated_artifact_merge_refuses_by_real_execution	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.generated_artifact_merge_driver_real_execution.divergent_generated_artifact_merge_under_true_driver_silently_drops_theirs_red_control_by_real_execution				other	other	test.claim.generated_artifact_merge_driver_real_execution.divergent_generated_artifact_merge_under_true_driver_silently_drops_theirs_red_control_by_real_execution	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.generated_artifact_merge_driver_real_execution.one_sided_generated_artifact_change_merges_clean_by_real_execution				other	other	test.claim.generated_artifact_merge_driver_real_execution.one_sided_generated_artifact_change_merges_clean_by_real_execution	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.go_module_versioning_witness (witness); bare=go_manifest_file				no_such_function	reach_gap	test.claim.go_module_versioning_witness.w_go_manifest_file	no such function: go_manifest_file
test.claim.hand_lens_host_bridge_scaffold_watchdog (witness); bare=transport_script_position_host_bridge_dissolution_trigger				no_such_function	reach_gap	test.claim.hand_lens_host_bridge_scaffold_watchdog.hand_lens_host_bridge_scaffold_roster_tracks_5364_dissolution	no such function: transport_script_position_host_bridge_dissolution_trigger
test.claim.hetzner_cost_quote_witness (witness); bare=cax41_catalog				no_such_function	reach_gap	test.claim.hetzner_cost_quote_witness.hetzner_cax41_cost_class_is_per_second_billed	no such function: cax41_catalog
test.claim.hetzner_cost_quote_witness (witness); bare=cax41_catalog				no_such_function	reach_gap	test.claim.hetzner_cost_quote_witness.hetzner_cax41_currency_is_eur	no such function: cax41_catalog
test.claim.hetzner_cost_quote_witness (witness); bare=cax41_catalog				no_such_function	reach_gap	test.claim.hetzner_cost_quote_witness.hetzner_cax41_unit_price_matches_catalog	no such function: cax41_catalog
test.claim.host_build_cache_provision_real_execution.provision_read_back_failure_not_converged_by_real_execution				other	other	test.claim.host_build_cache_provision_real_execution.provision_read_back_failure_not_converged_by_real_execution	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.host_effect_apply_witness.witness_shell_on_host_failure_fails_closed				other	other	test.claim.host_effect_apply_witness.witness_shell_on_host_failure_fails_closed	returned Bool(false)
test.claim.host_effect_apply_witness.witness_converge_policy_redrives_not_converged				other	other	test.claim.host_effect_apply_witness.witness_converge_policy_redrives_not_converged	returned Bool(false)
test.claim.host_effect_apply_witness.witness_ssh_shell_unreachable_fails_closed				other	other	test.claim.host_effect_apply_witness.witness_ssh_shell_unreachable_fails_closed	returned Bool(false)
test.claim.host_effect_apply_witness.witness_shell_failure_surfaces_captured_stdout				other	other	test.claim.host_effect_apply_witness.witness_shell_failure_surfaces_captured_stdout	returned Bool(false)
test.claim.host_effect_plan_real_execution.host_effect_plan_shell_failure_reason_carries_exit_code_by_real_execution				other	other	test.claim.host_effect_plan_real_execution.host_effect_plan_shell_failure_reason_carries_exit_code_by_real_execution	returned Bool(false)
test.claim.host_effect_plan_real_execution.host_effect_plan_shell_witness_holds_by_real_execution				other	other	test.claim.host_effect_plan_real_execution.host_effect_plan_shell_witness_holds_by_real_execution	returned Bool(false)
test.claim.host_phase_status.witness_reconcile_covers_upsert_teardown_and_noop				other	other	test.claim.host_phase_status.witness_reconcile_covers_upsert_teardown_and_noop	type error: atom_identity_hash requires exactly one string argument
test.claim.host_phase_status (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_phase_status.witness_matrix_is_exact_join_over_participation_programs	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_phase_status.witness_live_observation_frontier_is_one_cell	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_phase_status.witness_unmodeled_cells_track_spine_gaps	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_phase_status.witness_remaining_work_counts_every_unfinished_cell	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_phase_status.witness_program_scoping_preserves_the_runner_fleet_matrix	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_phase_status.witness_fleet_matrix_has_no_duplicated_cells	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_phase_status.witness_matrix_hosts_are_exactly_the_enrolled_roster	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_phase_status.witness_enrolled_sparks_carry_exactly_the_shared_obligations	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_phase_status.witness_enrolled_spark_cells_are_all_unobserved	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_phase_status.witness_runner_only_obligations_exist_on_runner_hosts	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_phase_status (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_phase_status.witness_every_covered_cell_today_is_the_authored_one	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_reach_identity_probe_witness (witness); bare=srv3_post_install_lease_table_fixture				no_such_function	reach_gap	test.claim.host_reach_identity_probe_witness.committed_probe_receipts_feed_producers_and_grow_coverage	no such function: srv3_post_install_lease_table_fixture
test.claim.host_reach_identity_probe_witness (witness); bare=srv3_post_install_lease_table_fixture				no_such_function	reach_gap	test.claim.host_reach_identity_probe_witness.observe_host_phase_routes_by_label_and_stays_fail_closed	no such function: srv3_post_install_lease_table_fixture
test.claim.host_standup_assimilation_deduction (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_standup_assimilation_deduction.pre_install_within_budget_is_absent_not_converged	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_standup_assimilation_deduction (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_standup_assimilation_deduction.post_install_lease_row_deduces_converged_noop	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_standup_assimilation_deduction (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_standup_assimilation_deduction.unreadable_lease_is_unknown_refused_not_pending	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_standup_assimilation_deduction (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_standup_assimilation_deduction.no_lease_past_budget_is_drifted_not_fabricated_success	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_standup_assimilation_deduction (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_standup_assimilation_deduction.upsert_pending_applies_assert_pending_plan	no such function: srv3_install_hang_no_router_lease_ms
test.claim.host_standup_spine (witness); bare=srv3_install_hang_no_router_lease_ms				no_such_function	reach_gap	test.claim.host_standup_spine.post_install_dhcp_subsumption_reduces_gap_count_by_one	no such function: srv3_install_hang_no_router_lease_ms
test.claim.http_client_get_real_execution.http_client_get_roundtrip_by_real_execution				other	other	test.claim.http_client_get_real_execution.http_client_get_roundtrip_by_real_execution	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.http_client_get_real_execution.http_client_get_missing_target_red_control_by_real_execution				other	other	test.claim.http_client_get_real_execution.http_client_get_missing_target_red_control_by_real_execution	type error: hermetic mode: no mock_response for operation Dir — refusing to fabricate Unit
test.claim.ice40_supply_witness (witness); bare=admits		test.claim.check_coverage_admission_witness.admits	test.claim.altra_minimal_design_witness|test.claim.check_coverage_admission_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_power_distribution_witness|test.claim.ice40_supply_witness|test.claim.spatial_knowledge_witness	call_contract_mismatch	bare_name_binding	test.claim.ice40_supply_witness.w_the_core_window_discriminates_below_volt_grain	call contract mismatch calling 'admits': no parameter named 'r' (declared: [coverage])
test.claim.ice40_supply_witness (witness); bare=admits		test.claim.check_coverage_admission_witness.admits	test.claim.altra_minimal_design_witness|test.claim.check_coverage_admission_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_power_distribution_witness|test.claim.ice40_supply_witness|test.claim.spatial_knowledge_witness	call_contract_mismatch	bare_name_binding	test.claim.ice40_supply_witness.w_the_configuration_mode_changes_the_admitted_window	call contract mismatch calling 'admits': no parameter named 'r' (declared: [coverage])
test.claim.ice40_supply_witness (witness); bare=admits		test.claim.check_coverage_admission_witness.admits	test.claim.altra_minimal_design_witness|test.claim.check_coverage_admission_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_power_distribution_witness|test.claim.ice40_supply_witness|test.claim.spatial_knowledge_witness	call_contract_mismatch	bare_name_binding	test.claim.ice40_supply_witness.w_the_unconnected_pin_admits_no_voltage	call contract mismatch calling 'admits': no parameter named 'r' (declared: [coverage])
test.claim.ice40_supply_witness (witness); bare=admits		test.claim.check_coverage_admission_witness.admits	test.claim.altra_minimal_design_witness|test.claim.check_coverage_admission_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_power_distribution_witness|test.claim.ice40_supply_witness|test.claim.spatial_knowledge_witness	call_contract_mismatch	bare_name_binding	test.claim.ice40_supply_witness.w_the_io_standard_is_tighter_than_the_bank_rail	call contract mismatch calling 'admits': no parameter named 'r' (declared: [coverage])
test.claim.ice40_supply_witness (witness); bare=admits		test.claim.check_coverage_admission_witness.admits	test.claim.altra_minimal_design_witness|test.claim.check_coverage_admission_witness|test.claim.compute_board_physical_witness|test.claim.compute_board_power_distribution_witness|test.claim.ice40_supply_witness|test.claim.spatial_knowledge_witness	call_contract_mismatch	bare_name_binding	test.claim.ice40_supply_witness.w_the_pll_rail_follows_the_core_not_the_banks	call contract mismatch calling 'admits': no parameter named 'r' (declared: [coverage])
test.claim.instrument_camera_witness.instrument_camera_keystone_holds				other	other	test.claim.instrument_camera_witness.instrument_camera_keystone_holds	non-exhaustive pattern match on: SalienceSupporting
test.claim.interp_recorded_fixture_witness_test.interp_recorded_fixture_keystone_holds				other	other	test.claim.interp_recorded_fixture_witness_test.interp_recorded_fixture_keystone_holds	type error: hermetic mode: no mock_response for operation IsExecutable — refusing to fabricate Unit
test.claim.interpreter_replacement_cut_witness_test (witness); bare=count_matching	test.claim.interpreter_replacement_cut_witness_test.count_matching	product.compute_board.admission.count_matching	product.compute_board.admission|test.claim.interpreter_replacement_cut_witness_test	call_contract_mismatch	bare_name_binding	test.claim.interpreter_replacement_cut_witness_test.interpreter_cut_plan_refuses_with_open_decisions	call contract mismatch calling 'count_matching': no parameter named 'causes' (declared: [names, name])
test.claim.interpreter_replacement_cut_witness_test.retiring_with_x_needs_no_coverage_authority				other	other	test.claim.interpreter_replacement_cut_witness_test.retiring_with_x_needs_no_coverage_authority	returned Bool(false)
test.claim.live_deploy.apply.witness_digest_readback_script_is_bounded_and_post_mutation				other	other	test.claim.live_deploy.apply.witness_digest_readback_script_is_bounded_and_post_mutation	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
test.claim.live_deploy.emit.witness_blue_and_green_retirement_both_preserve_reusable_dispatch_state				other	other	test.claim.live_deploy.emit.witness_blue_and_green_retirement_both_preserve_reusable_dispatch_state	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.emit.witness_retract_attempt_state_root_refuses_when_nonempty				other	other	test.claim.live_deploy.emit.witness_retract_attempt_state_root_refuses_when_nonempty	witness receipt wall budget exceeded: 502ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
test.claim.live_deploy.emit.witness_retract_preamble_acknowledges_shared_sudoers_install				other	other	test.claim.live_deploy.emit.witness_retract_preamble_acknowledges_shared_sudoers_install	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.emit.witness_scripts_stay_within_ci_runner_grants				other	other	test.claim.live_deploy.emit.witness_scripts_stay_within_ci_runner_grants	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.emit.witness_retract_script_owned_only				other	other	test.claim.live_deploy.emit.witness_retract_script_owned_only	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.emit.witness_retract_owned_process_removes_serve_service				other	other	test.claim.live_deploy.emit.witness_retract_owned_process_removes_serve_service	eval budget exceeded: 507ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.emit.emitted_twin_retract_removes_nothing_of_productions				other	other	test.claim.live_deploy.emit.emitted_twin_retract_removes_nothing_of_productions	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.emit.twin_and_production_configure_disjoint_tailscale_endpoints				other	other	test.claim.live_deploy.emit.twin_and_production_configure_disjoint_tailscale_endpoints	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
test.claim.live_deploy.emit.retract_is_not_emitted_without_an_observed_scoped_removal				other	other	test.claim.live_deploy.emit.retract_is_not_emitted_without_an_observed_scoped_removal	eval budget exceeded: 504ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.readiness.witness_ssh_mock_stdout_is_discriminating_red				other	other	test.claim.live_deploy.readiness.witness_ssh_mock_stdout_is_discriminating_red	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
test.claim.live_deploy.readiness.witness_accept_no_response_probe_fails_fast_not_hangs				other	other	test.claim.live_deploy.readiness.witness_accept_no_response_probe_fails_fast_not_hangs	eval budget exceeded: 504ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.readiness.witness_transport_get_probe_over_ssh_does_not_ground_mock_stdout				other	other	test.claim.live_deploy.readiness.witness_transport_get_probe_over_ssh_does_not_ground_mock_stdout	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.readiness.witness_bounded_poll_one_iteration_composes_probe_and_modeled_sleep				other	other	test.claim.live_deploy.readiness.witness_bounded_poll_one_iteration_composes_probe_and_modeled_sleep	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
test.claim.live_deploy.readiness.witness_bounded_poll_early_exit_on_grounded_read				other	other	test.claim.live_deploy.readiness.witness_bounded_poll_early_exit_on_grounded_read	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.running_release_identity_witness_test.witness_matching_release_and_surface_grounds				other	other	test.claim.live_deploy.running_release_identity_witness_test.witness_matching_release_and_surface_grounds	eval budget exceeded: 503ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.running_release_identity_witness_test.witness_readiness_refuses_when_reported_revision_is_not_the_admitted_one				other	other	test.claim.live_deploy.running_release_identity_witness_test.witness_readiness_refuses_when_reported_revision_is_not_the_admitted_one	witness receipt wall budget exceeded: 502ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
test.claim.live_deploy.running_release_identity_witness_test.witness_third_candidate_still_sees_launched_revision				other	other	test.claim.live_deploy.running_release_identity_witness_test.witness_third_candidate_still_sees_launched_revision	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
test.claim.live_deploy.running_release_identity_witness_test.witness_body_without_release_identity_refuses				other	other	test.claim.live_deploy.running_release_identity_witness_test.witness_body_without_release_identity_refuses	eval budget exceeded: 502ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.running_release_identity_witness_test.witness_correct_artifacts_with_wrong_bundle_identity_refuses				other	other	test.claim.live_deploy.running_release_identity_witness_test.witness_correct_artifacts_with_wrong_bundle_identity_refuses	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.running_release_identity_witness_test.witness_correct_identity_with_one_stale_artifact_refuses				other	other	test.claim.live_deploy.running_release_identity_witness_test.witness_correct_identity_with_one_stale_artifact_refuses	eval budget exceeded: 502ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.running_release_identity_witness_test.witness_surface_projection_ignores_identity_members				other	other	test.claim.live_deploy.running_release_identity_witness_test.witness_surface_projection_ignores_identity_members	eval budget exceeded: 501ms thread-CPU > 500ms fast-lane budget (operator 5s rule 2026-07-12). This budget is enforced on THREAD CPU, not wall. RELOCATING THE FILE DOES NOT DISCHARGE IT: moving a witness under a long/ dir removes it from per-PR discovery without giving it an executing consumer, which deletes the coverage while retaining the source (the gunbc#7762 specimen behind the 2026-08-04 admission ruling). Either reduce the witness's cost, or enroll it in a lane that declares its own dated ceiling AND names the row as an executing consumer.
test.claim.live_deploy.running_release_identity_witness_test.witness_identity_round_trips_from_served_body				other	other	test.claim.live_deploy.running_release_identity_witness_test.witness_identity_round_trips_from_served_body	witness receipt wall budget exceeded: 501ms wall > 500ms whole-receipt budget (falsifier wet/silent-pick lane; kill-at-deadline)
